site_key,name_en,unesco_id,category,criteria_display,criteria_count,countries,region,continent,latitude,longitude,inscription_year,inscription_decade,age_years,is_transboundary,is_endangered,area_hectares,has_image,components_count,geographic_type,unesco_url,description_en
west_norwegian_fjords_geirangerfjord_and_naeroyfjord,West Norwegian Fjords – Geirangerfjord and Nærøyfjord,1195,Natural,(vii)(viii),2,NOR,Europe and North America,Europe,,,2005,2000s,20,False,False,122712,True,2,Mountain,https://whc.unesco.org/en/list/1195,"Situated in south-western Norway, north-east of Bergen, Geirangerfjord and Nærøyfjord, set 120 km from one another, are part of the west Norwegian fjord landscape, which stretches from Stavanger in the south to Andalsnes, 500 km to the north-east. The two fjords, among the world’s longest and deepest, are considered as archetypical fjord landscapes and among the most scenically outstanding anywhere. Their exceptional natural beauty is derived from their narrow and steep-sided crystalline rock wa"
buddhist_ruins_of_takht_i_bahi_and_neighbouring_city_remains_at_sahr_i_bahlol,Buddhist Ruins of Takht-i-Bahi and Neighbouring City Remains at Sahr-i-Bahlol,140,Cultural,(iv),1,PAK,Asia and the Pacific,Unknown,,,1980,1980s,45,False,False,50.73,False,2,Urban,https://whc.unesco.org/en/list/140,"The Buddhist monastic complex of Takht-i-Bahi (Throne of Origins) was founded in the early 1st century. Owing to its location on the crest of a high hill, it escaped successive invasions and is still exceptionally well preserved. Nearby are the ruins of Sahr-i-Bahlol, a small fortified city dating from the same period."
rohtas_fort,Rohtas Fort,586,Cultural,(ii)(iv),2,PAK,Asia and the Pacific,Unknown,,,1997,1990s,28,False,False,0,True,1,Cultural Landscape,https://whc.unesco.org/en/list/586,"Following his defeat of the Mughal emperor Humayun in 1541, Sher Shah Suri built a strong fortified complex at Rohtas, a strategic site in the north of what is now Pakistan. It was never taken by storm and has survived intact to the present day. The main fortifications consist of the massive walls, which extend for more than 4 km; they are lined with bastions and pierced by monumental gateways. Rohtas Fort, also called Qila Rohtas, is an exceptional example of early Muslim military architecture "
taxila,Taxila,139,Cultural,(iii),1,PAK,Asia and the Pacific,Unknown,,,1980,1980s,45,False,False,0,True,17,Urban,https://whc.unesco.org/en/list/139,"From the ancient Neolithic tumulus of Saraikala to the ramparts of Sirkap (2nd century B.C.) and the city of Sirsukh (1st century A.D.), Taxila illustrates the different stages in the development of a city on the Indus that was alternately influenced by Persia, Greece and Central Asia and which, from the 5th century B.C. to the 2nd century A.D., was an important Buddhist centre of learning."
historical_monuments_at_makli_thatta,"Historical Monuments at Makli, Thatta",143,Cultural,(iii),1,PAK,Asia and the Pacific,Unknown,,,1981,1980s,44,False,False,0,True,1,Urban,https://whc.unesco.org/en/list/143,"The capital of three successive dynasties and later ruled by the Mughal emperors of Delhi, Thatta was constantly embellished from the 14th to the 18th century. The remains of the city and its necropolis provide a unique view of civilization in Sind."
fort_and_shalamar_gardens_in_lahore,Fort and Shalamar Gardens in Lahore,171,Cultural,(i)(ii)(iii),3,PAK,Asia and the Pacific,Unknown,,,1981,1980s,44,False,False,0,True,2,Urban,https://whc.unesco.org/en/list/171,"These are two masterpieces from the time of the brilliant Mughal civilization, which reached its height during the reign of the Emperor Shah Jahan. The fort contains marble palaces and mosques decorated with mosaics and gilt. The elegance of these splendid gardens, built near the city of Lahore on three terraces with lodges, waterfalls and large ornamental ponds, is unequalled."
darien_national_park,Darien National Park,159,Natural,(vii)(ix)(x),3,PAN,Latin America and the Caribbean,Americas,,,1981,1980s,44,False,False,579000,True,1,Coastal,https://whc.unesco.org/en/list/159,"Forming a bridge between the two continents of the New World, Darien National Park contains an exceptional variety of habitats – sandy beaches, rocky coasts, mangroves, swamps, and lowland and upland tropical forests containing remarkable wildlife. Two Indian tribes live in the park."
coiba_national_park_and_its_special_zone_of_marine_protection,Coiba National Park and its Special Zone of Marine Protection,1138,Natural,(ix)(x),2,PAN,Latin America and the Caribbean,Americas,,,2005,2000s,20,False,False,270125,True,1,Coastal,https://whc.unesco.org/en/list/1138,"Coiba National Park, off the southwest coast of Panama, protects Coiba Island, 38 smaller islands and the surrounding marine areas within the Gulf of Chiriqui. Protected from the cold winds and effects of El Niño, Coiba’s Pacific tropical moist forest maintains exceptionally high levels of endemism of mammals, birds and plants due to the ongoing evolution of new species. It is also the last refuge for a number of threatened animals such as the crested eagle. The property is an outstanding natura"
jesuit_missions_of_la_santisima_trinidad_de_parana_and_jesus_de_tavarangue,Jesuit Missions of La Santísima Trinidad de Paraná and Jesús de Tavarangue,648,Cultural,(iv),1,PRY,Latin America and the Caribbean,Americas,,,1993,1990s,32,False,False,27.88,True,2,Cultural Landscape,https://whc.unesco.org/en/list/648,"In addition to their artistic interest, these missions are a reminder of the Jesuits' Christianization of the Río de la Plata basin in the 17th and 18th centuries, with the accompanying social and economic initiatives."
chan_chan_archaeological_zone,Chan Chan Archaeological Zone,366,Cultural,(i)(iii),2,PER,Latin America and the Caribbean,Americas,,,1986,1980s,39,False,True,1414.57,True,1,Urban,https://whc.unesco.org/en/list/366,"The Chimu Kingdom, with Chan Chan as its capital, reached its apogee in the 15th century, not long before falling to the Incas. The planning of this huge city, the largest in pre-Columbian America, reflects a strict political and social strategy, marked by the city's division into nine 'citadels' or 'palaces' forming autonomous units."
huascaran_national_park,Huascarán National Park,333,Natural,(vii)(viii),2,PER,Latin America and the Caribbean,Americas,,,1985,1980s,40,False,False,340000,True,1,Mountain,https://whc.unesco.org/en/list/333,"Situated in the Cordillera Blanca, the world's highest tropical mountain range, Mount Huascarán rises to 6,768 m above sea-level. The deep ravines watered by numerous torrents, the glacial lakes and the variety of the vegetation make it a site of spectacular beauty. It is the home of such species as the spectacled bear and the Andean condor."
rio_abiseo_national_park,Río Abiseo National Park,548,Mixed,(iii)(vii)(ix)(x),4,PER,Latin America and the Caribbean,Americas,,,1990,1990s,35,False,False,272407.95,True,1,Coastal,https://whc.unesco.org/en/list/548,"The park was created in 1983 to protect the fauna and flora of the rainforests that are characteristic of this region of the Andes. There is a high level of endemism among the fauna and flora found in the park. The yellow-tailed woolly monkey, previously thought extinct, is found only in this area. Research undertaken since 1985 has already uncovered 36 previously unknown archaeological sites at altitudes of between 2,500 and 4,000 m, which give a good picture of pre-Inca society."
manu_national_park,Manú National Park,402,Natural,(ix)(x),2,PER,Latin America and the Caribbean,Americas,,,1987,1980s,38,False,False,1716295.22,True,1,Coastal,https://whc.unesco.org/en/list/402,"This huge 1.5 million-ha park has successive tiers of vegetation rising from 150 to 4,200 m above sea-level. The tropical forest in the lower tiers is home to an unrivalled variety of animal and plant species. Some 850 species of birds have been identified and rare species such as the giant otter and the giant armadillo also find refuge there. Jaguars are often sighted in the park."
historic_city_of_vigan,Historic City of Vigan,502,Cultural,(ii)(iv),2,PHL,Asia and the Pacific,Unknown,,,1999,1990s,26,False,False,17.25,True,1,Urban,https://whc.unesco.org/en/list/502,"Established in the 16th century, Vigan is the best-preserved example of a planned Spanish colonial town in Asia. Its architecture reflects the coming together of cultural elements from elsewhere in the Philippines, from China and from Europe, resulting in a culture and townscape that have no parallel anywhere in East and South-East Asia."
rice_terraces_of_the_philippine_cordilleras,Rice Terraces of the Philippine Cordilleras,722,Cultural,(iii)(iv)(v),3,PHL,Asia and the Pacific,Unknown,,,1995,1990s,30,False,False,0,True,5,Mountain,https://whc.unesco.org/en/list/722,"For 2,000 years, the high rice fields of the Ifugao have followed the contours of the mountains. The fruit of knowledge handed down from one generation to the next, and the expression of sacred traditions and a delicate social balance, they have helped to create a landscape of great beauty that expresses the harmony between humankind and the environment."
churches_of_peace_in_jawor_and_swidnica,Churches of Peace in Jawor and Świdnica,1054,Cultural,(iii)(iv),2,POL,Europe and North America,Europe,,,2001,2000s,24,False,False,0.23,True,2,Cultural Landscape,https://whc.unesco.org/en/list/1054,"The Churches of Peace in Jawor and Świdnica, the largest timber-framed religious buildings in Europe, were built in the former Silesia in the mid-17th century, amid the religious strife that followed the Peace of Westphalia. Constrained by the physical and political conditions, the Churches of Peace bear testimony to the quest for religious freedom and are a rare expression of Lutheran ideology in an idiom generally associated with the Catholic Church."
centennial_hall_in_wroclaw,Centennial Hall in Wrocław,1165,Cultural,(i)(ii)(iv),3,POL,Europe and North America,Europe,,,2006,2000s,19,False,False,36.69,True,1,Coastal,https://whc.unesco.org/en/list/1165,"The Centennial Hall, a landmark in the history of reinforced concrete architecture, was erected in 1911-1913 by the architect Max Berg as a multi-purpose recreational building, situated in the Exhibition Grounds. In form it is a symmetrical quatrefoil with a vast circular central space that can seat some 6,000 persons. The 23m-high dome is topped with a lantern in steel and glass. The Centennial Hall is a pioneering work of modern engineering and architecture, which exhibits an important interch"
historic_centre_of_krakow,Historic Centre of Kraków,29,Cultural,(iv),1,POL,Europe and North America,Europe,,,1978,1970s,47,False,False,149.65,True,1,Urban,https://whc.unesco.org/en/list/29,"The Historic Centre of Kraków, the former capital of Poland, is situated at the foot of the Royal Wawel Castle. The 13th-century merchants' town has Europe's largest market square and numerous historical houses, palaces and churches with their magnificent interiors. Further evidence of the town's fascinating history is provided by the remnants of the 14th-century fortifications and the medieval site of Kazimierz with its ancient synagogues in the southern part of town, Jagellonian University and"
historic_centre_of_warsaw,Historic Centre of Warsaw,30,Cultural,(ii),1,POL,Europe and North America,Europe,,,1980,1980s,45,False,False,25.93,True,1,Urban,https://whc.unesco.org/en/list/30,"During the Warsaw Uprising in August 1944, more than 85% of Warsaw's historic centre was destroyed by Nazi troops. After the war, a five-year reconstruction campaign by its citizens resulted in today's meticulous restoration of the Old Town, with its churches, palaces and market-place. It is an outstanding example of a near-total reconstruction of a span of history covering the 13th to the 20th century."
tarnowskie_gory_lead_silver_zinc_mine_and_its_underground_water_management_system,Tarnowskie Góry Lead-Silver-Zinc Mine and its Underground Water Management System,1539,Cultural,(i)(ii)(iv),3,POL,Europe and North America,Europe,,,2017,2010s,8,False,False,1672.76,True,1,Urban,https://whc.unesco.org/en/list/1539,"Located in Upper Silesia, in southern Poland, one of the main mining areas of central Europe, the property includes the entire underground mine with adits, shafts, galleries and other features of the water management system. Most of the property is situated underground while the surface mining topography features relics of shafts and waste heaps, as well as the remains of the 19th century steam water pumping station. The elements of the water management system, located underground and on the sur"
krzemionki_prehistoric_striped_flint_mining_region,Krzemionki Prehistoric Striped Flint Mining Region,1599,Cultural,(iii)(iv),2,POL,Europe and North America,Europe,,,2019,2010s,6,False,False,349.2,True,4,Mountain,https://whc.unesco.org/en/list/1599,"Located in the mountain region of Świętokrzyskie, Krzemionki is an ensemble of four mining sites, dating from the Neolithic to the Bronze Age (about 3900 to 1600 BCE), dedicated to the extraction and processing of striped flint, which was mainly used for axe-making. With its underground mining structures, flint workshops and some 4,000 shafts and pits, the property features one of the most comprehensive prehistoric underground flint extraction and processing systems identified to date. The prope"
medieval_town_of_torun,Medieval Town of Toruń,835,Cultural,(ii)(iv),2,POL,Europe and North America,Europe,,,1997,1990s,28,False,False,48,True,1,Coastal,https://whc.unesco.org/en/list/835,"Torun owes its origins to the Teutonic Order, which built a castle there in the mid-13th century as a base for the conquest and evangelization of Prussia. It soon developed a commercial role as part of the Hanseatic League. In the Old and New Town, the many imposing public and private buildings from the 14th and 15th centuries (among them the house of Copernicus) are striking evidence of Torun's importance."
wooden_churches_of_southern_malopolska,Wooden Churches of Southern Małopolska,1053,Cultural,(iii)(iv),2,POL,Europe and North America,Europe,,,2003,2000s,22,False,False,8.26,True,6,Urban,https://whc.unesco.org/en/list/1053,"The wooden churches of southern Little Poland represent outstanding examples of the different aspects of medieval church-building traditions in Roman Catholic culture. Built using the horizontal log technique, common in eastern and northern Europe since the Middle Ages, these churches were sponsored by noble families and became status symbols. They offered an alternative to the stone structures erected in urban centres."
wieliczka_and_bochnia_royal_salt_mines,Wieliczka and Bochnia Royal Salt Mines,32,Cultural,(iv),1,POL,Europe and North America,Europe,,,1978,1970s,47,False,False,1104.947,True,3,Cultural Landscape,https://whc.unesco.org/en/list/32,The deposit of rock salt in Wieliczka and Bochnia has been mined since the 13th century. This major industrial undertaking has royal status and is the oldest of its type in Europe. The site is a serial property consisting of Wieliczka and Bochnia salt mines and Wieliczka Saltworks Castle. The Wieliczka and Bochnia Royal Salt Mines illustrate the historic stages of the development of mining techniques in Europe from the 13th to the 20th centuries: both mines have hundreds of kilometers of galleri
central_zone_of_the_town_of_angra_do_heroismo_in_the_azores,Central Zone of the Town of Angra do Heroismo in the Azores,206,Cultural,(iv),1,PRT,Europe and North America,Europe,,,1983,1980s,42,False,False,0,True,1,Coastal,https://whc.unesco.org/en/list/206,"Situated on one of the islands in the Azores archipelago, this was an obligatory port of call from the 15th century until the advent of the steamship in the 19th century. The 400-year-old San Sebastião and San João Baptista fortifications are unique examples of military architecture. Damaged by an earthquake in 1980, Angra is now being restored."
alto_douro_wine_region,Alto Douro Wine Region,1046,Cultural,(iii)(iv)(v),3,PRT,Europe and North America,Europe,,,2001,2000s,24,False,False,24600,True,1,Cultural Landscape,https://whc.unesco.org/en/list/1046,"Wine has been produced by traditional landholders in the Alto Douro region for some 2,000 years. Since the 18th century, its main product, port wine, has been world famous for its quality. This long tradition of viticulture has produced a cultural landscape of outstanding beauty that reflects its technological, social and economic evolution."
cultural_landscape_of_sintra,Cultural Landscape of Sintra,723,Cultural,(ii)(iv)(v),3,PRT,Europe and North America,Europe,,,1995,1990s,30,False,False,946,True,1,Cultural Landscape,https://whc.unesco.org/en/list/723,"In the 19th century Sintra became the first centre of European Romantic architecture. Ferdinand II turned a ruined monastery into a castle where this new sensitivity was displayed in the use of Gothic, Egyptian, Moorish and Renaissance elements and in the creation of a park blending local and exotic species of trees. Other fine dwellings, built along the same lines in the surrounding serra , created a unique combination of parks and gardens which influenced the development of landscape architect"
garrison_border_town_of_elvas_and_its_fortifications,Garrison Border Town of Elvas and its Fortifications,1367,Cultural,(iv),1,PRT,Europe and North America,Europe,,,2012,2010s,13,False,False,179.3559,True,7,Urban,https://whc.unesco.org/en/list/1367,"The site, extensively fortified from the 17th to 19th centuries, represents the largest bulwarked dry-ditch system in the world. Within its walls, the town contains barracks and other military buildings as well as churches and monasteries. While Elvas contains remains dating back to the 10th century ad, its fortification began when Portugal regained independence in 1640. The fortifications designed by Dutch Jesuit padre Cosmander represent the best surviving example of the Dutch school of fortif"
historic_centre_of_guimaraes_and_couros_zone,Historic Centre of Guimarães and Couros Zone,1031,Cultural,(ii)(iii)(iv),3,PRT,Europe and North America,Europe,,,2001,2000s,24,False,False,38.2,True,1,Urban,https://whc.unesco.org/en/list/1031,"The historic town of Guimarães is associated with the emergence of the Portuguese national identity in the 12th century. An exceptionally well-preserved and authentic example of the evolution of a medieval settlement into a modern town, its rich building typology exemplifies the specific development of Portuguese architecture from the 15th to 19th century through the consistent use of traditional building materials and techniques. The property includes two monastic complexes and an industrial ar"
laurisilva_of_madeira,Laurisilva of Madeira,934,Natural,(ix)(x),2,PRT,Europe and North America,Europe,,,1999,1990s,26,False,False,15000,True,1,Forest,https://whc.unesco.org/en/list/934,"The Laurisilva of Madeira is an outstanding relict of a previously widespread laurel forest type. It is the largest surviving area of laurel forest and is believed to be 90% primary forest. It contains a unique suite of plants and animals, including many endemic species such as the Madeiran long-toed pigeon."
monastery_of_batalha,Monastery of Batalha,264,Cultural,(i)(ii),2,PRT,Europe and North America,Europe,,,1983,1980s,42,False,False,0.98,True,1,Cultural Landscape,https://whc.unesco.org/en/list/264,"The Monastery of the Dominicans of Batalha was built to commemorate the victory of the Portuguese over the Castilians at the battle of Aljubarrota in 1385. It was to be the Portuguese monarchy's main building project for the next two centuries. Here a highly original, national Gothic style evolved, profoundly influenced by Manueline art, as demonstrated by its masterpiece, the Royal Cloister."
prehistoric_rock_art_sites_in_the_coa_valley_and_siega_verde,Prehistoric Rock Art Sites in the Côa Valley and Siega Verde,866,Cultural,(i)(iii),2,"ESP, PRT",Europe and North America,Europe,,,1998,1990s,27,True,False,,True,17,River/Valley,https://whc.unesco.org/en/list/866,"The two Prehistoric Rock Art Sites in the Côa Valley (Portugal) and Siega Verde (Spain) are located on the banks of the rivers Agueda and Côa, tributaries of the river Douro, documenting continuous human occupation from the end of the Paleolithic Age. Hundreds of panels with thousands of animal figures (5,000 in Foz Côa and around 440 in Siega Verde) were carved over several millennia, representing the most remarkable open-air ensemble of Paleolithic art on the Iberian Peninsula. Côa Valley and "
al_zubarah_archaeological_site,Al Zubarah Archaeological Site,1402,Cultural,(iii)(iv)(v),3,QAT,Arab States,Asia,,,2013,2010s,12,False,False,415.66,True,1,Coastal,https://whc.unesco.org/en/list/1402,"The walled coastal town of Al Zubarah in the Persian Gulf flourished as a pearling and trading centre in the late 18th century and early 19th centuries, before it was destroyed in 1811 and abandoned in the early 1900s. Founded by merchants from Kuwait, Al Zubarah had trading links across the Indian Ocean, Arabia and Western Asia. A layer of sand blown from the desert has protected the remains of the site’s palaces, mosques, streets, courtyard houses, and fishermen’s huts; its harbour and double "
gyeongju_historic_areas,Gyeongju Historic Areas,976,Cultural,(ii)(iii),2,KOR,Asia and the Pacific,Unknown,,,2000,2000s,25,False,False,2880,True,5,Cultural Landscape,https://whc.unesco.org/en/list/976,"The Gyeongju Historic Areas contain a remarkable concentration of outstanding examples of Korean Buddhist art, in the form of sculptures, reliefs, pagodas, and the remains of temples and palaces from the flowering, in particular between the 7th and 10th centuries, of this form of unique artistic expression."
historic_villages_of_korea_hahoe_and_yangdong,Historic Villages of Korea: Hahoe and Yangdong,1324,Cultural,(iii)(iv),2,KOR,Asia and the Pacific,Unknown,,,2010,2010s,15,False,False,599.6,True,5,Mountain,https://whc.unesco.org/en/list/1324,"Founded in the 14th-15th centuries, Hahoe and Yangdong are seen as the two most representative historic clan villages in the Republic of Korea. Their layout and location - sheltered by forested mountains and facing out onto a river and open agricultural fields – reflect the distinctive aristocratic Confucian culture of the early part of the Joseon Dynasty (1392-1910). The villages were located to provide both physical and spiritual nourishment from their surrounding landscapes. They include resi"
haeinsa_temple_janggyeong_panjeon_the_depositories_for_the_i_tripitaka_koreana_i_woodblocks,"Haeinsa Temple Janggyeong Panjeon, the Depositories for the <I>Tripitaka Koreana</I> Woodblocks",737,Cultural,(iv),1,KOR,Asia and the Pacific,Unknown,,,1995,1990s,30,False,False,0,True,1,Cultural Landscape,https://whc.unesco.org/en/list/737,"The Temple of Haeinsa, on Mount Gaya, is home to the Tripitaka Koreana , the most complete collection of Buddhist texts, engraved on 80,000 woodblocks between 1237 and 1248. The buildings of Janggyeong Panjeon, which date from the 15th century, were constructed to house the woodblocks, which are also revered as exceptional works of art. As the oldest depository of the Tripitaka , they reveal an astonishing mastery of the invention and implementation of the conservation techniques used to preserv"
namhansanseong,Namhansanseong,1439,Cultural,(ii)(iv),2,KOR,Asia and the Pacific,Unknown,,,2014,2010s,11,False,False,409.06,True,2,Mountain,https://whc.unesco.org/en/list/1439,"Namhansanseong was designed as an emergency capital for the Joseon dynasty (1392–1910), in a mountainous site 25 km south-east of Seoul. Built and defended by Buddhist monk-soldiers, it could accommodate 4,000 people and fulfilled important administrative and military functions. Its earliest remains date from the 7th century, but it was rebuilt several times, notably in the early 17th century in anticipation of an attack from the Sino-Manchu Qing dynasty. The city embodies a synthesis of the def"
churches_of_moldavia,Churches of Moldavia,598,Cultural,(i)(iv),2,ROU,Europe and North America,Europe,,,1993,1990s,32,False,False,,True,8,Cultural Landscape,https://whc.unesco.org/en/list/598,"These eight churches of northern Moldavia, built from the late 15th century to the late 16th century, their external walls covered in fresco paintings, are masterpieces inspired by Byzantine art. They are authentic and particularly well preserved. Far from being mere wall decorations, the paintings form a systematic covering on all the facades and represent complete cycles of religious themes.Their exceptional composition, the elegance of the characters, and the harmony of the colors blend perfe"
dacian_fortresses_of_the_orastie_mountains,Dacian Fortresses of the Orastie Mountains,906,Cultural,(ii)(iii)(iv),3,ROU,Europe and North America,Europe,,,1999,1990s,26,False,False,0,True,6,Cultural Landscape,https://whc.unesco.org/en/list/906,"Built in the 1st centuries B.C. and A.D. under Dacian rule, these fortresses show an unusual fusion of military and religious architectural techniques and concepts from the classical world and the late European Iron Age. The six defensive works, the nucleus of the Dacian Kingdom, were conquered by the Romans at the beginning of the 2nd century A.D.; their extensive and well-preserved remains stand in spectacular natural surroundings and give a dramatic picture of a vigorous and innovative civili"
danube_delta,Danube Delta,588,Natural,(vii)(x),2,ROU,Europe and North America,Europe,,,1991,1990s,34,False,False,312440,True,1,Coastal,https://whc.unesco.org/en/list/588,"The waters of the Danube, which flow into the Black Sea, form the largest and best preserved of Europe's deltas. The Danube delta hosts over 300 species of birds as well as 45 freshwater fish species in its numerous lakes and marshes."
frontiers_of_the_roman_empire_dacia,Frontiers of the Roman Empire – Dacia,1718,Cultural,(ii)(iii)(iv),3,ROU,Europe and North America,Europe,,,2024,2020s,1,False,False,1491.6,True,277,River/Valley,https://whc.unesco.org/en/list/1718,"From 500 BCE on, the Roman Empire extended its territory across parts of Europe and North Africa until its frontier totaled some 7,500 kilometres by the 2nd century. The Romanian segment, the Dacian Limes, was operational from 106 to 271 CE. The property comprises 277 component parts and represents the longest, most complex land border of a former Roman province in Europe. Traversing diverse landscapes, it is defined by a network of individual sites that include legionary fortresses, auxiliary f"
central_sikhote_alin,Central Sikhote-Alin,766,Natural,(x),1,RUS,Europe and North America,Europe,,,2001,2000s,24,False,False,1566818,True,3,Mountain,https://whc.unesco.org/en/list/766,"The Sikhote-Alin mountain range contains one of the richest and most unusual temperate forests of the world. In this mixed zone between taiga and subtropics, southern species such as the tiger and Himalayan bear cohabit with northern species such as the brown bear and lynx. After its extension in 2018, the property includes the Bikin River Valley, located about 100 km to the north of the existing site. It encompasses the South-Okhotsk dark coniferous forests and the East-Asian coniferous broadle"
bolgar_historical_and_archaeological_complex,Bolgar Historical and Archaeological Complex,981,Cultural,(ii),1,RUS,Europe and North America,Europe,,,2014,2010s,11,False,False,424,True,2,Urban,https://whc.unesco.org/en/list/981,"This property lies on the shores of the Volga River, south of its confluence with the River Kama, and south of the capital of Tatarstan, Kazan. It contains evidence of the medieval city of Bolgar, an early settlement of the civilization of Volga-Bolgars, which existed between the 7th and 15th centuries AD, and was the first capital of the Golden Horde in the 13th century. Bolgar represents the historical cultural exchanges and transformations of Eurasia over several centuries that played a pivot"
astronomical_observatories_of_kazan_federal_university,Astronomical Observatories of Kazan Federal University,1678,Cultural,(ii)(iv),2,RUS,Europe and North America,Europe,,,2023,2020s,2,False,False,19.02,True,2,Forest,https://whc.unesco.org/en/list/1678,"The property is comprised of two component parts: one in the historical centre of Kazan and the other in a forested suburban area west of the city. The Kazan City Astronomical Observatory, built in 1837, is located on the University campus and the building is characterized by a semi-circular façade and three towers with domes built to house astronomical instruments. The suburban Engelhardt Astronomical Observatory includes structures for sky observations and residential buildings, all located wi"
ensemble_of_the_novodevichy_convent,Ensemble of the Novodevichy Convent,1097,Cultural,(i)(iv),2,RUS,Europe and North America,Europe,,,2004,2000s,21,False,False,5.18,True,1,Urban,https://whc.unesco.org/en/list/1097,"The Novodevichy Convent, in south-western Moscow, built in the 16th and 17th centuries in the so-called Moscow Baroque style, was part of a chain of monastic ensembles that were integrated into the defence system of the city. The convent was directly associated with the political, cultural and religious history of Russia, and closely linked to the Moscow Kremlin. It was used by women of the Tsar’s family and the aristocracy. Members of the Tsar’s family and entourage were also buried in its ceme"
golden_mountains_of_altai,Golden Mountains of Altai,768,Natural,(x),1,RUS,Europe and North America,Europe,,,1998,1990s,27,False,False,1611457,True,3,Mountain,https://whc.unesco.org/en/list/768,"The Altai mountains in southern Siberia form the major mountain range in the western Siberia biogeographic region and provide the source of its greatest rivers – the Ob and the Irtysh. Three separate areas are inscribed: Altaisky Zapovednik and a buffer zone around Lake Teletskoye; Katunsky Zapovednik and a buffer zone around Mount Belukha; and the Ukok Quiet Zone on the Ukok plateau. The total area covers 1,611,457 ha. The region represents the most complete sequence of altitudinal vegetation z"
historic_monuments_of_novgorod_and_surroundings,Historic Monuments of Novgorod and Surroundings,604,Cultural,(ii)(iv),2,RUS,Europe and North America,Europe,,,1992,1990s,33,False,False,0,True,11,Cultural Landscape,https://whc.unesco.org/en/list/604,"Situated on the ancient trade route between Central Asia and northern Europe, Novgorod was Russia's first capital in the 9th century. Surrounded by churches and monasteries, it was a centre for Orthodox spirituality as well as Russian architecture. Its medieval monuments and the 14th-century frescoes of Theophanes the Greek (Andrei Rublev's teacher) illustrate the development of its remarkable architecture and cultural creativity."
historical_centre_of_the_city_of_yaroslavl,Historical Centre of the City of Yaroslavl,1170,Cultural,(ii)(iv),2,RUS,Europe and North America,Europe,,,2005,2000s,20,False,False,110,True,1,Urban,https://whc.unesco.org/en/list/1170,"Situated at the confluence of the Volga and Kotorosl Rivers some 250 km north-east of Moscow, the historic city of Yaroslavl developed into a major commercial centre from the 11th century. It is renowned for its numerous 17th-century churches and is an outstanding example of the urban planning reform Empress Catherine the Great ordered for the whole of Russia in 1763. While keeping some of its significant historic structures, the town was renovated in the neoclassical style on a radial urban mas"
historic_centre_of_saint_petersburg_and_related_groups_of_monuments,Historic Centre of Saint Petersburg and Related Groups of Monuments,540,Cultural,(i)(ii)(iv),3,RUS,Europe and North America,Europe,,,1990,1990s,35,False,False,3934.1,True,112,Urban,https://whc.unesco.org/en/list/540,"The 'Venice of the North', with its numerous canals and more than 400 bridges, is the result of a vast urban project begun in 1703 under Peter the Great. Later known as Leningrad (in the former USSR), the city is closely associated with the October Revolution. Its architectural heritage reconciles the very different Baroque and pure neoclassical styles, as can be seen in the Admiralty, the Winter Palace, the Marble Palace and the Hermitage."
kremlin_and_red_square_moscow,"Kremlin and Red Square, Moscow",545,Cultural,(i)(ii)(iv),3,RUS,Europe and North America,Europe,,,1990,1990s,35,False,False,42.1,True,1,Cultural Landscape,https://whc.unesco.org/en/list/545,"Inextricably linked to all the most important historical and political events in Russia since the 13th century, the Kremlin (built between the 14th and 17th centuries by outstanding Russian and foreign architects) was the residence of the Great Prince and also a religious centre. At the foot of its ramparts, on Red Square, St Basil's Basilica is one of the most beautiful Russian Orthodox monuments."
lena_pillars_nature_park,Lena Pillars Nature Park,1299,Natural,(viii),1,RUS,Europe and North America,Europe,,,2012,2010s,13,False,False,1387000,True,2,River/Valley,https://whc.unesco.org/en/list/1299,Lena Pillars Nature Park is marked by spectacular rock pillars that reach a height of approximately 100 m along the banks of the Lena River in the central part of the Sakha Republic (Yakutia). They were produced by the region’s extreme continental climate with an annual temperature range of almost 100 degrees Celsius (from –60 °C in winter to +40 °C in summer). The pillars form rocky buttresses isolated from each other by deep and steep gullies developed by frost shattering directed along interv
natural_system_of_wrangel_island_reserve,Natural System of Wrangel Island Reserve,1023,Natural,(ix)(x),2,RUS,Europe and North America,Europe,,,2004,2000s,21,False,False,1916300,True,1,Mountain,https://whc.unesco.org/en/list/1023,"Located well above the Arctic Circle, the site includes the mountainous Wrangel Island (7,608 km2), Herald Island (11 km2) and surrounding waters. Wrangel was not glaciated during the Quaternary Ice Age, resulting in exceptionally high levels of biodiversity for this region. The island boasts the world’s largest population of Pacific walrus and the highest density of ancestral polar bear dens. It is a major feeding ground for the grey whale migrating from Mexico and the northernmost nesting grou"
volcanoes_of_kamchatka,Volcanoes of Kamchatka,765,Natural,(vii)(viii)(ix)(x),4,RUS,Europe and North America,Europe,,,1996,1990s,29,False,False,3995769.37,True,6,Coastal,https://whc.unesco.org/en/list/765,"This is one of the most outstanding volcanic regions in the world, with a high density of active volcanoes, a variety of types, and a wide range of related features. The six sites included in the serial designation group together the majority of volcanic features of the Kamchatka peninsula. The interplay of active volcanoes and glaciers forms a dynamic landscape of great beauty. The sites contain great species diversity, including the world's largest known variety of salmonoid fish and exception"
